instance_name,n,linnear_bkv,linnear_opt,metaheurisitc_bvk,metaheurisitc_opt
instance_100_1,100,0,1,0,1
instance_100_2,100,0,1,0,1
instance_100_3,100,0,1,0,1
instance_100_4,100,0,1,0,1
instance_14,14,0,1,0,1
instance_16,16,0,1,0,1
instance_200_1,200,0,1,0,1
instance_200_2,200,0,1,0,1
instance_200_3,200,0,1,0,1
instance_200_4,200,0,1,0,1
instance_21,21,0,1,0,1
instance_22,22,0,1,0,1
instance_26,26,0,1,0,1
instance_29,29,0,1,0,1
instance_442_1,442,0,1,0,1
instance_442_2,442,0,1,0,1
instance_48,48,0,1,0,1
